Topic,ParameterName,ParameterValue,Density,Throughput,AvgSpeed,Arrivals,AvgTravelTime,ArrivalRate,Spawned,Completion
Random,turnP,60%,0.1,8.031,0.075,0,0.00,0.000,4184,0.000
Random,turnP,60%,0.2,4.494,0.036,0,0.00,0.000,3359,0.000
Random,turnP,60%,0.3,2.305,0.016,0,0.00,0.000,2660,0.000
Random,turnP,60%,0.4,0.995,0.006,0,0.00,0.000,2004,0.000
AvoidLeft,avoidLeftRate,0%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
AvoidLeft,avoidLeftRate,10%,0.1,0.218,0.024,69,96.35,0.009,300,0.230
AvoidLeft,avoidLeftRate,20%,0.1,0.212,0.025,37,112.59,0.005,286,0.129
AvoidLeft,avoidLeftRate,30%,0.1,0.221,0.027,86,99.86,0.011,321,0.268
AvoidLeft,avoidLeftRate,40%,0.1,0.188,0.021,40,95.28,0.005,274,0.146
AvoidLeft,avoidLeftRate,50%,0.1,0.187,0.019,47,105.32,0.006,268,0.175
AvoidLeft,avoidLeftRate,60%,0.1,0.185,0.019,44,107.98,0.005,259,0.170
AvoidLeft,avoidLeftRate,70%,0.1,0.184,0.020,25,93.76,0.003,259,0.097
AvoidLeft,avoidLeftRate,80%,0.1,0.224,0.027,83,96.42,0.010,316,0.263
AvoidLeft,avoidLeftRate,90%,0.1,0.188,0.020,36,107.97,0.004,264,0.136
AvoidLeft,avoidLeftRate,100%,0.1,0.191,0.020,30,109.67,0.004,258,0.116
AvoidLeft,avoidLeftRate,0%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
AvoidLeft,avoidLeftRate,10%,0.2,0.150,0.013,20,100.25,0.003,209,0.096
AvoidLeft,avoidLeftRate,20%,0.2,0.153,0.013,30,103.53,0.004,216,0.139
AvoidLeft,avoidLeftRate,30%,0.2,0.151,0.013,25,111.72,0.003,209,0.120
AvoidLeft,avoidLeftRate,40%,0.2,0.169,0.015,58,101.22,0.007,247,0.235
AvoidLeft,avoidLeftRate,50%,0.2,0.115,0.009,23,108.48,0.003,164,0.140
AvoidLeft,avoidLeftRate,60%,0.2,0.134,0.011,25,75.84,0.003,195,0.128
AvoidLeft,avoidLeftRate,70%,0.2,0.151,0.013,42,105.05,0.005,216,0.194
AvoidLeft,avoidLeftRate,80%,0.2,0.140,0.011,33,98.21,0.004,194,0.170
AvoidLeft,avoidLeftRate,90%,0.2,0.124,0.010,44,87.82,0.005,194,0.227
AvoidLeft,avoidLeftRate,100%,0.2,0.124,0.010,11,92.64,0.001,168,0.065
AvoidLeft,avoidLeftRate,0%,0.3,0.059,0.004,7,108.43,0.001,81,0.086
AvoidLeft,avoidLeftRate,10%,0.3,0.059,0.004,13,34.54,0.002,93,0.140
AvoidLeft,avoidLeftRate,20%,0.3,0.065,0.005,6,47.17,0.001,97,0.062
AvoidLeft,avoidLeftRate,30%,0.3,0.091,0.007,19,87.74,0.002,131,0.145
AvoidLeft,avoidLeftRate,40%,0.3,0.053,0.004,5,123.00,0.001,77,0.065
AvoidLeft,avoidLeftRate,50%,0.3,0.078,0.006,11,92.36,0.001,114,0.096
AvoidLeft,avoidLeftRate,60%,0.3,0.076,0.005,18,127.28,0.002,111,0.162
AvoidLeft,avoidLeftRate,70%,0.3,0.075,0.005,11,75.18,0.001,111,0.099
AvoidLeft,avoidLeftRate,80%,0.3,0.079,0.005,16,122.31,0.002,104,0.154
AvoidLeft,avoidLeftRate,90%,0.3,0.072,0.005,19,108.32,0.002,104,0.183
AvoidLeft,avoidLeftRate,100%,0.3,0.062,0.004,9,59.67,0.001,96,0.094
AvoidLeft,avoidLeftRate,0%,0.4,0.037,0.002,3,107.00,0.000,60,0.050
AvoidLeft,avoidLeftRate,10%,0.4,0.042,0.003,4,117.50,0.001,59,0.068
AvoidLeft,avoidLeftRate,20%,0.4,0.043,0.003,8,82.38,0.001,68,0.118
AvoidLeft,avoidLeftRate,30%,0.4,0.039,0.003,3,38.00,0.000,63,0.048
AvoidLeft,avoidLeftRate,40%,0.4,0.031,0.002,1,27.00,0.000,45,0.022
AvoidLeft,avoidLeftRate,50%,0.4,0.033,0.002,1,26.00,0.000,45,0.022
AvoidLeft,avoidLeftRate,60%,0.4,0.031,0.002,5,46.40,0.001,55,0.091
AvoidLeft,avoidLeftRate,70%,0.4,0.045,0.003,7,90.57,0.001,68,0.103
