numEW,numNS,pattern,unrouted_throughput,unrouted_avgSpeed,routed_throughput,routed_avgSpeed,routed_avgTravelTime,routed_completion
0,0,concentrated,24.5656,0.6798,19.8256,0.7512,182.65,0.8302
0,1,concentrated,24.9421,0.6747,19.6686,0.7403,185.48,0.8113
0,2,concentrated,25.2719,0.6790,19.6496,0.7360,186.83,0.7941
0,2,staggered,25.4020,0.6733,19.7437,0.7359,187.50,0.8145
0,3,concentrated,26.3472,0.6741,19.8193,0.7384,185.94,0.8006
0,3,staggered,26.4826,0.6651,19.9841,0.7419,185.71,0.8341
0,4,concentrated,27.4279,0.6698,19.9668,0.7379,187.16,0.8212
0,4,staggered,26.7890,0.6735,20.0971,0.7411,186.57,0.8245
0,5,concentrated,28.5072,0.6695,19.8953,0.7328,188.46,0.8282
0,5,staggered,28.8920,0.6654,20.2500,0.7417,186.59,0.8462
0,6,concentrated,28.8920,0.6654,20.2500,0.7417,186.59,0.8462
1,0,concentrated,25.7316,0.6786,20.0909,0.7502,182.77,0.8621
1,1,concentrated,26.2301,0.6755,20.0955,0.7466,183.56,0.8365
1,2,concentrated,26.2847,0.6803,20.1322,0.7454,184.42,0.8300
1,2,staggered,26.4600,0.6681,19.9252,0.7377,186.00,0.8165
1,3,concentrated,27.4171,0.6755,20.2559,0.7453,185.25,0.8400
1,3,staggered,27.6525,0.6663,20.1202,0.7406,186.68,0.8300
1,4,concentrated,28.5430,0.6673,20.3478,0.7455,185.76,0.8448
1,4,staggered,27.9624,0.6739,20.1307,0.7361,188.66,0.8290
1,5,concentrated,29.5205,0.6643,20.3695,0.7448,184.71,0.8507
1,5,staggered,30.0864,0.6616,20.4535,0.7442,185.37,0.8439
1,6,concentrated,30.0399,0.6626,20.5411,0.7460,184.94,0.8470
2,0,concentrated,27.0646,0.6705,20.1139,0.7448,184.56,0.8687
2,0,staggered,26.8170,0.6538,20.0867,0.7473,183.17,0.8360
2,1,concentrated,27.2840,0.6679,20.1403,0.7417,185.14,0.8480
2,1,staggered,27.7492,0.6504,20.2974,0.7520,181.65,0.8365
2,2,concentrated,27.6142,0.6677,20.1205,0.7385,186.58,0.8411
2,2,staggered,27.4344,0.6471,20.3035,0.7474,183.31,0.8112
2,3,concentrated,28.6092,0.6640,20.3307,0.7433,186.36,0.8456
